Periodo,Recetas,Negadas,SurtidasTotalmente,SurtidasTotalParcial,Ano,Mes
1,20092441,179634,98.7923,99.106,2019,1
2,17749392,85975,99.315,99.5156,2019,2
3,18504546,77644,99.4296,99.5804,2019,3
4,18187450,98185,99.2756,99.4601,2019,4
5,18187450,98185,99.2756,99.4601,2019,5
6,17908362,108984,99.1828,99.3914,2019,6
7,19974713,140796,99.0821,99.2951,2019,7
8,19287921,170050,98.8622,99.1184,2019,8
9,18154539,219694,98.476,98.7899,2019,9
10,20615577,675673,96.0955,96.7225,2019,10
11,18855438,874895,94.3866,95.36,2019,11
12,18941111,1356635,91.6717,92.8376,2019,12
13,20909331,1925298,89.6114,90.7922,2020,1
14,18789759,1773183,89.25,90.563,2020,2
15,19438836,1233161,92.5462,93.6562,2020,3
16,16543019,914278,92.9264,94.4733,2020,4
17,14733549,672016,93.0894,95.4389,2020,5
18,14920763,584428,93.6697,96.0831,2020,6
19,16508103,805404,92.9006,95.1212,2020,7
20,15712409,714883,93.0593,95.4502,2020,8
21,15742903,649160,93.523,95.8765,2020,9
22,17407384,870854,93.1304,94.9972,2020,10
23,16234580,870278,92.5078,94.6394,2020,11
24,16399201,1021682,91.5267,93.7699,2020,12
